,Mob_avg,Growth,ym_ratio
AR,-40.8244514106583,-10.2441796811353,0.250932451684109
AT,-30.7993527508091,-8.03979407784295,0.261037760854625
AU,-24.4879832810868,-6.03433612635854,0.246420297543209
BE,-32.2873563218391,-9.05618997510974,0.280487193960323
BR,-24.70670995671,-7.13391180754162,0.288743900747666
CA,-33.3301985370951,-7.33721480019481,0.220137146558812
CH,-24.5078369905956,-5.60189381481291,0.228575611016285
CL,-42.2111468381565,-7.31173723778265,0.173218161207912
CO,-41.3678929765887,-10.1663042368888,0.245753493963114
CZ,-20.8443051201672,-9.19073433345989,0.440923037754217
DE,-22.7419017763845,-6.32563002154683,0.278148682715508
DK,-18.1734587251829,-5.81634969417679,0.320046380941076
EE,-16.4448051948052,-6.67495534625876,0.405900542279901
ES,-35.3448275862069,-13.7304371292355,0.388470904144225
FI,-25.3730407523511,-5.44284947040389,0.214513093780435
FR,-32.0397074190177,-10.6371459440241,0.331998847708275
GB,-40.4420062695925,-12.1249362849184,0.299810454607316
GR,-25.8516129032258,-10.3269891511954,0.399471754039254
HK,-18.2222222222222,-6.24463959967913,0.342693636567757
HU,-21.5794701986755,-9.3343872035508,0.432558682748556
ID,-26.9130913091309,-7.07137781348565,0.262748627880087
IE,-40.0885245901639,-6.82360544517403,0.17021343426663
IN,-36.3479623824451,-13.85,0.381039241052178
IT,-33.2048066875653,-9.47652151991978,0.285396075606987
JP,-17.3030303030303,-5.8857003770244,0.340154312507539
KR,-9.88819226750261,-3.32102119354201,0.335857263258978
LT,-25.8056460369164,-4.47084964831553,0.17325083208224
LV,-17.2801302931596,-7.01742828751284,0.406098112020065
MX,-32.6478578892372,-10.4645142395774,0.32052682522326
MY,-33.055381400209,-10.57994312627,0.320067192635783
NL,-29.638619201726,-6.36076118840246,0.214610577676036
NO,-22.1462365591398,-5.834934975621,0.263472981517165
NZ,-23.2984749455338,-7.39831716738164,0.317545126222945
PE,-52.4448160535117,-15.6905518819996,0.299182132052667
PH,-47.9435736677116,-14.2270134387672,0.296744951416681
PL,-23.8959025470653,-6.92803265998548,0.289925548798169
PT,-34.1132897603486,-10.5914489848113,0.310478674417448
RU,-15.1494252873563,-5.61502031059818,0.370642463597907
SA,-37.4015401540154,-6.90778898701757,0.184692634543178
SE,-20.0929989550679,-4.8276997841059,0.240267756689862
SG,-30.7753396029258,-7.573515001941,0.246090379494008
SI,-28.0577777777778,-9.99850839618916,0.356354251408611
SK,-26.8807134894091,-9.37716403964536,0.348843569324896
TH,-20.226750261233,-10.4130901255614,0.514817753275933
TR,-30.0374149659864,-5.71985473829771,0.190424333944007
US,-26.4879832810867,-5.59711916026174,0.211307863677876
ZA,-31.5005224660397,-10.2407762010659,0.325098614224774
